"ID","Type","Name","Documentation","Specialization"
"id-8310bfe4b60f4d808ead9b1f256752cd","ArchimateModel","Driving Licence Enterprise","",""
"id-40e75f653b4a443a83355d620dd1966c","Capability","Capability","",""
"id-633e32d3e5f04586b41442a1d1214129","Capability","Issue digital certificate of driving licence","",""
"id-14db98a86bdf4a3a9a504e1b19466834","Capability","Issue digital driving licence","",""
"id-cd494eded9a947cc9bfa168c025a2fe2","CourseOfAction","Digital certificate of driving licence","",""
"id-b27d71ec0b3d4fa4af1e83e530cc8fba","CourseOfAction","Driving licence digitalisation program","",""
"id-98b04b510e23498aa0ab0d9010b82015","CourseOfAction","EU Digital driving licence","",""
"id-321b86533363482499850446192f393c","Resource","eWallet","",""
"id-e30df0e7bd454a47a031488f44432c4e","Resource","Guichet.lu","",""
"id-a767838a9ffd495a9f3619dcef569544","Resource","Registry of driving school","",""
"id-0a01686b7a9447358daa462b0d8aeea0","BusinessActor","Directorate of road safety driving","",""
"id-a75ca77c97cf4ffc971522fd07c9a53b","BusinessActor","Driving examination Commission","",""
"id-6689ec11e6414de0847f7b0f42b6540c","BusinessActor","Driving school","",""
"id-abb2df516bdb4fcf8d9208eccab2c751","BusinessActor","Lux resident","",""
"id-ee354812dd594852a58ee27c54349b7e","BusinessActor","MinEco - Classes moyennes","",""
"id-cdb141e146f64aba802830766ff77e22","BusinessActor","Ministry of transport","",""
"id-5b9c3e9813814f95b3dae693445fffb9","BusinessActor","Operational agent","",""
"id-28a91974b2a24ff2aa8282ec51a48a3c","BusinessActor","POST","",""
"id-fa6146095b944e779d0e650c08f8b1e5","BusinessActor","SNCA","",""
"id-e1b73613f38c46709564e02fa89cca45","BusinessFunction","Driver examination","",""
"id-4248dff948a547248844db79f4012a62","BusinessFunction","Driver supervision","",""
"id-2178447bca4b46a7bdaa553c68e9bce2","BusinessFunction","Driving exam organisation","",""
"id-447fe393755f4bb6a8c6ae9c827d3991","BusinessFunction","Driving licence production","",""
"id-12374517662d4b16acd298b341f85297","BusinessFunction","Driving school approval","",""
"id-35d3654fb7d84c6a80b5b56ed203840d","BusinessFunction","Driving school supervision","",""
"id-1ea86d77c76c446b8d9ed2cdd1842d00","BusinessObject","Driving school agreement","",""
"id-dbeaddec6a544e1e80d4b29cb1b21d80","BusinessObject","Driving school approval request","",""
"id-5f9281d2f0dd409d8820d15711aed5af","BusinessProcess","Approve driving school","",""
"id-fa194b203b4e4e198e171fee2e0330d8","BusinessProcess","Approve the registration of driving school","",""
"id-8fc96044a9524ee7aaf3c132aeddbfb1","BusinessProcess","Certify exam results","",""
"id-5e947bd782274699847b28e43eed65af","BusinessProcess","Check and validate the driving school request","",""
"id-441b69cd446847699389de1e9546e8d7","BusinessProcess","Check the driving school approval conditions","",""
"id-02c514563ee94f3da3d2f9f0f0680fb6","BusinessProcess","Deliver driving licence card","",""
"id-7afcd492229c423db8aed6e980c10408","BusinessProcess","Driver examination","",""
"id-34e1a5c8ada048faa95bcfdbc346f4ca","BusinessProcess","Issue driving licence","",""
"id-7d129c2c26e4472da7b026e0c92c289b","BusinessProcess","Issue driving licence","",""
"id-09d24c459d414dc4b93c99bb1ff4dd22","BusinessProcess","Notify driving licence administrator","",""
"id-e46e14b0438d4223aeb0a8abee9a8a0f","BusinessProcess","Practical driver examination management","",""
"id-57c1e95a74f3484c8254aeff9b4906e0","BusinessProcess","Produce driving licence card","",""
"id-5f117b574e924008b2a2d5f2f20a709e","BusinessProcess","Register driving licence card","",""
"id-c81d59bb89564c738729642a8fa4ca3c","BusinessProcess","Register the driving school","",""
"id-be8a66e37a93491db990e21efa4b6500","BusinessProcess","Send the driving school agreement","",""
"id-694f551f308c4e468bf2e1828b41e55f","BusinessProcess","Verify candidate status","",""
"id-6f3e124796334e448ca4fd64feeacb9f","BusinessRole","Driver","",""
"id-46431ff38f104dbd9d13c1983139b9f5","BusinessRole","Driving school administator","",""
"id-10af9112aeb64e7a9c41bd7a2a46d93b","BusinessRole","Driving trainer","",""
"id-dbb2b969941a46c58ed62aa19dedc7c0","BusinessRole","Minister","",""
"id-5a77f9f8641a4a6c99eaba08e36f67c4","BusinessRole","Regulator of road drivers","",""
"id-7d01a27b817c4433bce2677892e1b837","BusinessService","Approved driving school extension","",""
"id-20aa13d34373412cade4f45f67f681b1","BusinessService","Approved driving school registration","",""
"id-ddc5a06601394f449674eebfb34c074e","BusinessService","Approved driving school renewal","",""
"id-0bac99f5d82241f59db49221ec9571d8","BusinessService","Driver candidate registration","",""
"id-aba4b2bb7bad4b4ab5f4b71c06582341","BusinessService","Driving licence duplication","",""
"id-0b187918aa7b4cd4aea61a01c34a0c5b","BusinessService","Driving licence issuance","",""
"id-643d34e08f26412792cb834f5923b14c","BusinessService","Driving licence points removal","",""
"id-4945ca4203a54bc38cf557b39e7af438","BusinessService","Driving licence renewal","",""
"id-fd352ada966f4b03a83e33bd059499ad","BusinessService","Driving school registration notification","",""
"id-89d9d70966da4c4db3989cc7c293079a","BusinessService","Enterprise establishment registry","",""
"id-afb625be5fc545219463de8a42bbf426","BusinessService","Post delivery service","",""
"id-b881bd1a27bd4f08990da109b88c75ad","BusinessService","Practical driver exam registration","",""
"id-27a24dc820ea4995a14ea2ee6aae8e74","BusinessService","Practical driver examination","",""
"id-1fdca6ebee324d76aa9da7ad0301e9f0","BusinessService","Register theory classes","",""
"id-8aa6e68b89174c5081f31de5198c8aaf","BusinessService","Theory driver exam registration","",""
"id-992c49c7b1ba4ef0aa41f3e20378035a","BusinessService","Theory driver examination","",""
"id-94a4ada74fd44a0faf76f7c895ab776f","Product","24 Public service delivery","",""
"id-9e6bf31c39754183b658df5ffe959825","Product","Driving licence","",""
"id-bbe09b15f41e445ea83a34af3a64e97d","Product","Driving school agreement","",""
"id-8a4967b94d0c4a8da96111377c0afbc0","Product","Learner certificate","",""
"id-0eb5c3bbd7ca4503bbb47ac31895164f","ApplicationComponent","Driver certification system","",""
"id-b2e2d5a4419f40e383a40fbc34423453","ApplicationService","Driver certification check","",""
"id-b9d5147b9bc643b28d8156e7b2bbd0de","ApplicationService","Driver licence creation","",""
"id-9474b84172a7438dbad9b237a3f767e8","ApplicationService","Driving school approval creation","",""
"id-f788e91bc1e2449b91b9fe15a8d2dd60","ApplicationService","Driving school registry creation","",""
"id-6a98deeec1c1483791a3e563897713c4","ApplicationService","Exam certification creation","",""
"id-7bb558feb0c04182beecaea61521cebe","Equipment","Card production machine","",""
"id-a4af5269db3e4bc2b37553915f15014f","Equipment","Printer","",""
"id-2f566b9712ea46649dd2c3774f96f87e","Equipment","Scanner","",""
"id-80e7850573994d988f04fa3de52eb534","Material","Secured card","",""
"id-5356d4ac456745a4b3614cb736d96dc1","Assessment","Paper-based interface for driving school","",""
"id-efba01800133475a8808efd205839b16","Assessment","Paper-based processing of the driving school request","",""
"id-e30aad293d654cbf90b1d5dd65156c0b","Driver","Avoid fraud in driving licence","",""
"id-b0c934318f2346a7a0d60214f2ccf935","Driver","EU initiaitve for digital driving licence","",""
"id-acbdad33fb1c4c6fa2cd583db25db0aa","Goal","Actively participate to EU development","",""
"id-ed4368714e2c47b8b9f0fc546eb8e264","Goal","Guarantee secured technology","",""
"id-ebd37806e0a04d3a947752d7e5fdd1ce","Goal","Understand impacts on ecosystem","",""
"id-b76128c771454ffa8b83e33540b4f744","Outcome","Real system piloted","",""
"id-73d601f7de5549d389c5c91f940d3fb7","Outcome","Technology opportunity assessed","",""
"id-a3a0dff829ac4fcb9608ac1788230618","Stakeholder","Driver regulator","",""
"id-bf7b21f1c0b5414293f13f53ef0a1c03","Stakeholder","Minister for Digitalisation","",""